series,date,value
Informal Employment,2005-01-01,59.32743629020086
Informal Employment,2005-04-01,59.38129296522857
Informal Employment,2005-07-01,59.62550701728387
Informal Employment,2005-10-01,59.513187915414115
Informal Employment,2006-01-01,58.637925016177206
Informal Employment,2006-04-01,59.09848196566428
Informal Employment,2006-07-01,57.97203851688986
Informal Employment,2006-10-01,57.57161588002919
Informal Employment,2007-01-01,57.36529608974253
Informal Employment,2007-04-01,57.51116027203385
Informal Employment,2007-07-01,57.49422317879674
Informal Employment,2007-10-01,57.616761100417655
Informal Employment,2008-01-01,57.197645856720094
Informal Employment,2008-04-01,57.73692404432387
Informal Employment,2008-07-01,57.79017857142857
Informal Employment,2008-10-01,58.21510837216586
Informal Employment,2009-01-01,58.56961812307525
Informal Employment,2009-04-01,59.414807690849216
Informal Employment,2009-07-01,59.271661488589636
Informal Employment,2009-10-01,59.41781814382412
Informal Employment,2010-01-01,59.11642310765047
Informal Employment,2010-04-01,59.438212872928304
Informal Employment,2010-07-01,58.600523814450746
Informal Employment,2010-10-01,58.90071846777122
Informal Employment,2011-01-01,58.876184078658454
Informal Employment,2011-04-01,58.59497496159621
Informal Employment,2011-07-01,59.024965137706616
Informal Employment,2011-10-01,58.87504467951041
Informal Employment,2012-01-01,58.893422176253694
Informal Employment,2012-04-01,58.79391316748186
Informal Employment,2012-07-01,59.03205146371943
Informal Employment,2012-10-01,58.87185070003366
Informal Employment,2013-01-01,58.198161620251156
Informal Employment,2013-04-01,58.18837989692615
Informal Employment,2013-07-01,58.43419184516141
Informal Employment,2013-10-01,57.80562389252687
Informal Employment,2014-01-01,57.44640636557908
Informal Employment,2014-04-01,56.9756693523655
Informal Employment,2014-07-01,57.49051094876072
Informal Employment,2014-10-01,57.384519930053074
Informal Employment,2015-01-01,57.15843758469051
Informal Employment,2015-04-01,57.19088424714551
Informal Employment,2015-07-01,57.20543258321763
Informal Employment,2015-10-01,57.171808481902495
Informal Employment,2016-01-01,56.7023676779397
Informal Employment,2016-04-01,56.6377445302337
Informal Employment,2016-07-01,56.6629549047627
Informal Employment,2016-10-01,56.7922221283523
Informal Employment,2017-01-01,56.6890292632494
Informal Employment,2017-04-01,56.1842599711151
Informal Employment,2017-07-01,56.8182166741457
Informal Employment,2017-10-01,56.6563676500946
Informal Employment,2018-01-01,56.3649741844057
Informal Employment,2018-04-01,56.1491492394447
Informal Employment,2018-07-01,56.3740130021284
Informal Employment,2018-10-01,55.9513286428886
Informal Employment,2019-01-01,56.1988828988571
Informal Employment,2019-04-01,55.5489776762091
Informal Employment,2019-07-01,55.6263518836336
Informal Employment,2019-10-01,55.1494034244696
Informal Employment,2020-01-01,55.2653968527013
Informal Employment,2020-04-01,51.7517666666667
